make,model,car_model,review_title,review_text,style,comfort_rating,fuel_economy,perfomance,value_for_money,overall_rating,helpful_votes_ratio,review_date
Toyota,Corolla,Toyota Corolla 2.0D Saloon,Diesel Corrola,"Most of the people runaway from diesel technology these days, yes this is the same car which was most popular among all variants a decade ago. I bought it because the route I travel doesnt have CNG or Patrol and among diesel Corrola is the best option. 

Its very economical, and control is under your right feet, if you manage to maintain on 2000rpm, your trip average will be 19-20KM/Ltr. Apart from economy it has Driver Airbag and ABS which is another+ over the patrol variants in the same price range. Corrola is the only car made for Pakistani bumpy roads, no other car performs like her on such roads. I highly recommend this car to wheelers who have mileage excessive of 4000KM/Month",3,2,3,5,5,4,0.6666666666666666,2011-01-31
Honda,Civic,2016 Honda Civic Turbo 1.5 VTEC CVT,Adequate,This is a great looking car with a very nice interior. Al though internationally Honda has been able to do quite well but here in Pakistan it's not that great value for money although it better than before. I think the fit and finish of both exterior and interior needs to be improved and Honda Atlas should introduce the full digital instrument cluster and LED headlights as standard in the Turbo model at least. I really love this car and i hope it does great in Pakistan.,5,4,3,4,2,3,1.0,2016-09-27
Hyundai,Tucson,2014 Hyundai Tucson,great if not ridden in pakistan,"The exterior of the car is not great but its not dull other than that car outer look is fat
Interior is great as you just sit in it feel so well crafted and the seat are very comfortable. Has gerat features but the infotainment system is just too laggy. Besides that its interior is great has a good amount of head room and decent amount of leg room to.
Ah the engine performance in pakistan is terrible but in other countries its absolutely great. In pakistan for some reason the engine starts gittring and the cabin starts vibrating . if we took the car to the proper high ways and road its the best.
Saftey is great too has 5 air bags.",3,5,5,3,3,3,0.25,2017-07-26
Audi,A3,2017 Audi A3 1.2 TFSI Design Line,Best car in town,"I was have Altis grande for last 2 year and 3 month before I sold my grande  to change with new model, but instead wait for new model  I booked A3, I was worried about 1.2 TFSI engine as after shift from 1.8 to 1.2 TFSI, it was not looking good idea.  

I got my A3 delivered in last week and my amaze for every thing performance, comfort, options, fuel economy and style every things is incredible.",5,5,5,5,4,4,1.0,2017-09-28
Suzuki,Ravi,2022 Suzuki Ravi Euro II,Price Rate of Ravi is too high  beyond the point view of car,"A very simple car .......................................
Exterior  is not BAD . ................................
but quality of interior is satisfied.........
It has no saftey features at the price bracket of 18 lacs ....
so company provide  features in Suzuki Ravi..............
Thanks.........",2,1,3,2,1,1,0.0,2023-12-25
Suzuki,Swift,Suzuki Swift DLX 1.3,Awesome Swift,"I have bought Suzuki Swift two days ago. It is really challenging honda or toyota in 1.3 if trunk is not issue. It brings up the image of suzuki worldwide. It won car of the year award in nineteenth countries around the globe. I like this car very much because of its sporty,aggressive and graceful bodyshape. Assembling is of japanese standard not of local suzuki. It is spacious and powerful enough to take on long route. Suzuki should bring more variety like SX4 1.6 Grand Vitara XL-7 V6 and  Kizashi 2.4 to have a respectable place in the market against the competitors.",5,5,5,5,5,5,1.0,2011-09-07
Toyota,Prius,2010 Toyota Prius L 1.8,The best fuel efficient car in current situation,I have Prius L1.8. I bought this car last year in the price bracket of 2.2 million. But now the value of my car is around 3 to 3.1 million. I like its exterior as well as it's interior. And in current fuel prices I think it's the best option as it's a hybrid car,5,3,4,5,5,4,0.0,2022-10-22
Suzuki,Vitara,2017 Suzuki Vitara GLX 1.6,Unexpectedly good,"Very pleased with the quality of vitara never expected such from Suzuki even tho it's an imported vehicle, the drive he quite smooth and it feels like driving a powerful car not as driving a 1.6. Much better in comparison with brv and vezel. A daily driven family car that provides you with comfort and extra bit of luggage space, wouldn't be hard for your pocket to handle as the fuel economy is very good both in city and long travel while it's maintenance cost is not that high as well",4,5,5,5,3,4,1.0,2019-11-06
Honda,BR-V,2021 Honda BR-V i-VTEC S,regrets only,"Nice exterior, windshield too much slope causing high reflection and difficult driving at night
Very hard, tyring and painful seats
Vert low torque, a feul guzzler, no change in engine performance with high octain and even octain boater
Very hard, poor, uncomfort suspension
AC vents too small as compare to caben size and AC fan is more noisey and less blow
Very poor cabin sealing, feels like driving with windows down even when all windows closed
Will replace with any other care ASAP",1,1,1,1,1,1,0.0,2021-07-13
Suzuki,Wagon R,2017 Suzuki Wagon R VXL,A Nice One By Pak Suzuki,"Exterior is OK. One should not expect something ""super"" in 1.1 million rs in Pakistan.
Interior is good, the quality is good not superb but a quality plastic is used.
The drive comfort is at par, only thing that is not satisfying is its tyres.They really bring the quality down!
Fuel Economy is also OK, I didn't measure up till now.
Hoping to see improvement with time in ride quality.
From the things they have installed, only the tyres and the rear manual windows are disappointing factors!",4,4,4,5,4,4,1.0,2017-10-08
Mitsubishi,Ek Wagon,2014 Mitsubishi Ek Wagon MX Navi Collection,Good Car for family,"Exterior: Good paint Quality .road clearness better than move and mira
Interior with touch panel and climate control Ac, Large Space
Fuel Economy:
I drive 100 KM 
With AC give me 20 KM average
Without AC  22 Km average
Handling is to Good and to much better than sazuki cultus and wagon R",5,5,5,5,5,5,1.0,2018-03-28
Suzuki,Mehran,2017 Suzuki Mehran VXR Euro II,Mehran VXR,"Exterior: As same as it was from 1990
Interior: Steering Lock and know immobilizer is add quality of work not found, not much space &amp; comfort if we compare it with 660cc Japan assembled.
Fuel Economy: Mehran is know for fuel economy but if it is compared with 660cc Japan assembled then there is a big question
Ride Quality is very normal or poor. 
It is very funny “that a person who has no choice in local manufactured vehicles and forced to buy a very poor quality with high price vehicle with no accessories like mud flaps, floor mate, steering cover which are essentials”. Same brand from Japan has no issues, why?",2,1,3,3,1,2,0.6666666666666666,2017-11-25
Toyota,Corolla,2015 Toyota Corolla GLi 1.3 VVTi,Worst Toyota Model,"I previously had Honda City 12 with me for more like 2 years But my friend forced me to go with GLI as i was not happy with the Suspension of my City. I was impressed by comfort of my Friends GLI 12 model and make a decision to go with GLI next time.  And guess what this happens to be the worst decision i have ever made. 
New Corolla GLI is nothing but a Crap. Cheap Cheap interior plastic and Door material is worst. I thought may b i was driving it first time that's why but i asked several other drives using new corolla and they said Bhai Yeh Wala Model Koyn Lia App Ne ?
I realized i made a wrong choice. I Should have gone for Civic or City Aspire as i paid almost 2 millions for this piece of crap and gets Engine only in this price with no leather seats,Alloys,Air bag,and some other basic things..",3,3,4,3,4,3,0.5882352941176471,2015-05-06
Honda,Civic,Honda Civic VTi Prosmatec 1.8 i-VTEC,Fugly car,"""Reborn"" was more impressive in terms of exterior and interior, it was totally a new package from its previous model 2006. The new civic seems to be the blend of reborn and latest city. Quality is quite pathetic and price dont justifies seeing the car...",1,1,1,1,1,1,0.5,2012-09-20
Toyota,Corolla,2019 Toyota Corolla Altis Automatic 1.6,Excellent Car,This Car is best value for money for those people who want to buy a good looking and comfortable sedan. Some people say that city 1.5 and yaris 1.5 are better options than corolla 1.6 those cars offer more functions than corolla but the drive of both cars are good but corolla is very best in drive and looks. The feel of corolla is very different from both cars. I am very happy from my purchase,5,5,5,5,4,4,0.0,2022-07-04
Honda,City,2018 Honda City 1.3 i-VTEC,Excellent Car if kept with care,"Decent exterior. better looking than 2022 model Honda city in my opinion.
Exterior is simple but does the job.
Speakers audio is great for music. 
Engine is powerful enough for day to day use. no issue faced on slopes either if you are a good driver.
Go for 185 size tyres instead of original 175 Eurostar pathetic tyres. 
Build quality of the body is very cheap and the metal itself is feather light and resultantly, very fragile. 
Maintenance is not very hectic and if kept with care, this car will give you 200,000+ kms without any major issue.
Handling is superb even at 180 kmph. 
Suspension isn't the best but isn't bad either. it is good enough for careful drivers if you have good tyres like Continental etc.
Overall a beautiful car for it's price range.
better than Yaris and similar options in my opinion.",4,3,4,5,5,4,0.0,2022-02-18
Honda,Civic,Honda Civic VTi Oriel 1.8 i-VTEC,This car is in very good condition!,This car condition is very good but we will see the rate of the car that how  much this car cost &amp;i like it.I know all of this car condition because i have drone it.i agree with it.And please tell me that it has sun roof or sky roof.I have sold like this condition of cars and my busniss is also of bargains.i sell toyota cars and i m agree with this car.but please tell the price on time because i wuld give that kind of cash ok,4,5,5,4,3,4,0.08333333333333333,2011-02-25
Honda,City,2013 Honda City Aspire 1.5 i-VTEC,Mansoor,"Exterior:not very different than city 1.3 except side indicators on rear view side mirrors

Interior (Features, Space &amp; Comfort):very good interior, good features but GPS does not behave most of the times. it has good space and very comfortable.

Fuel Economy:excellent fuel economy

Ride Quality &amp; Handling:handling is very good and ride is as per honda standard but suspension is very hard. I have driven it on off road conditions and found no inconvenience instead it behaves like an off road vehicle. I strongly recommend this car and negate anybody who says it is car for urban areas only.

Final Words: an excellent ride",3,4,5,5,3,4,0.8571428571428571,2013-08-28
SsangYong,Stavic,2005 SsangYong Stavic SV 270,family car,"exterior is great comfort  car is value for money
 the have 11 seats the car performance is great
 fuel economy is great the car is for family (360)  rotating seats the car design is good for family 
stavic is great car .The car driving seat moves 6-way. my",5,5,5,5,5,5,0.0,2022-01-11
Hyundai,Santa Fe,2019 Hyundai Santa Fe GLS,Extremely Steep projected price,"The recently launched Hyundai Santa Fe by NHMPL in Lahore was a very exciting news for many when it was said that it's going to make its nearest competitor, Toyota Fortuner, sweat but after hearing about the probable price bracket, between Rs. 16m to 18m, seriously speaking, who will buy a 2400cc vehicle when one can get a far superior Toyota Prado with a 2700cc engine or even a used land Cruiser or a 2017 model BMW X5 hybrid version in the same price. Now here, either the quoted projected price is wrong or, Hyundai Pakistan has lost it totally. I mean do they really feel that can compete such major tested &amp; tried players with this absurd price bracket, beats me....",4,4,3,4,1,3,0.0,2019-02-27
Honda,City,2005 Honda City i-DSI,Excellent value to money,Honda City 2005 is a good car for family use. It is an encomical car with a good fuel average.Its parts and aslo cheap and easy to mantian.It peform good on highway and with fuel average around 18 to 20 Kms. It shape is not mordern like the cars of these days but it falls in budget section so the shape does not matter that much. It thing matter's is that the car is Value to money which can be sold easily at any time.,3,3,4,4,5,3,1.0,2019-09-25
Toyota,Corolla,2011 Toyota Corolla Altis SR 1.8,toyota corolla,I bought this car a year ago its gives 10 to 12 km/L in city with ac and 14 to 16 km/L . its very powerful as compared to gli or city . parts are economical and easily available.very good resale .very reliable. suspension is soft and strong .  its stable even on high speed .  handling is also good . a  good family car.,4,4,5,5,5,4,0.0,2019-10-02
Honda,Civic,2014 Honda Civic VTi 1.8 i-VTEC,Car look,"Excellent look 
Best handling 
Best cockpit 
Best for Road safety 
Such a excellent car for middle class 
"".....""........."".....................................""..........................."".""..........................................""...................",5,5,5,5,5,5,0.5,2014-07-06
Prince,Pearl,2020 Prince Pearl MT,Excellent value for money,"Modern look 
power steering 
power window 
and much more future fuel average in 15 to 18 km
Smooth drive comfortable seats led and digital speedometer
after sales service good karachi prince motor staff very comparative and instantly resolve your issue in starting i have facing some problem they solve like gear shifting hard",5,5,4,5,5,4,0.0,2020-09-29
Suzuki,Swift,Suzuki Swift DLX 1.3,Nice car... Swift 2010,The most beautiful and powerful hatch back in Pakistan.I was not expecting such thing from  Pak Suzuki.Comfortable and quiet cabin with all features.Plus point is that its various almost 90% parts are imported.Ac works perfectly good .Price is little higher for a hatch back but still 2 -4 lac cheaoer than other 1.3 litre car,5,5,4,3,3,4,0.5,2010-07-24
Honda,City,2013 Honda City Aspire Prosmatec 1.5 i-VTEC,Needs to re evaluate,"Exterior: Good Looks lacks Fog Lamps

Interior (Features, Space &amp; Comfort): Poor Quality Leather seats, No Fixed Ashtray, Wires for internet &amp; charger badly placed in glove compartment, Navigation software poor quality(old version)

Fuel Economy: 9 KM in city 12 KM on motorway

Ride Quality &amp; Handling: good

Final Words:I just done 2000 Km this was my dream car but shocked to see the poor performance of Navigation system.however still evaluating drive is nice,",4,4,1,4,2,3,0.4166666666666667,2013-08-18
